"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "Properties", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/.env", "Properties", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/components.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/package-lock.json", "JSON", 0, 0, 8269, 0, 0, 0, 0, 0, 0, 1, 8270
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/package.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 0, 0, 1, 57
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6, 1, 2, 9
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/Arrow.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/auth/AuthLogo.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 0, 4, 37
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/auth/Mail.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/auth/celebrate.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 7, 16
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/auth/lock.tsx", "TypeScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/auth/openEye.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/auth/phone.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/auth/register-icon.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/auth/resend.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/auth/user.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/cube.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/feacebook.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/group.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 3, 42
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/header/ChatIcon.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/header/HamburgerIcon.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/header/HeartICon.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/muhammadxon/Desktop/SMART QNAT CRAFT WITH FIGMA/my-app/public/img/header/Login.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
